,Source,Reference,Adopted Mass,Object Radius,Old Accr Rate,Ha Accr Rate,PaB Accr Rate,BrG Accr Rate,Avg Accr Rate
416,[W96] rJ053833-0236,Rigliaco 2012,0.2,1.73,3.8899999999999996e-11,7.776720199537974e-10,1.925367213167597e-10,,4.851043706352786e-10
417,[BNM2013] 93.03 29,Rigliaco 2011,0.2,1.08,1.78e-10,,,,
418,V* TY Ori,Rigliaco 2011,0.6,2.27,,,,,
419,[W96] 4771-1147,Rigliaco 2011,1.0,1.49,,,,,
420,2MASS J05383902-0245321,Rigliaco 2011,0.3,1.06,1.29e-09,,,,
421,2MASS J05383902-0245321,Rigliaco 2012,0.3,0.97,2.0899999999999998e-10,2.9495030266893024e-10,6.295152413361719e-10,,4.622327720025511e-10
422,2MASS J05383976-0232203,Rigliaco 2011,0.06,0.56,1.23e-11,,,,
423,Haro 5-13,Rigliaco 2011,0.9,1.41,5.5e-10,,,,
424,2MASS J05384053-0233275,Rigliaco 2011,0.2,1.22,1.51e-10,,,,
425,[BNM2013] 92.01 24,Rigliaco 2011,0.3,1.15,1.32e-10,,,,
426,[W96] 4771-1051,Rigliaco 2011,0.6,2.16,1.7399999999999998e-09,,,,
427,2MASS J05384448-0240376,Rigliaco 2011,0.08,0.37,7.76e-12,,,,
428,V* V595 Ori,Rigliaco 2011,0.5,1.49,6.46e-10,,,,
429,2MASS J05384755-0227120,Rigliaco 2011,0.2,1.74,2.9499999999999996e-10,,,,
430,[W96] 4771-899,Rigliaco 2011,0.8,3.21,,,,,
